site,group,model,serial_num
gw,gateway,CRS112-8P-4S,
gw,router,CRS112-8P-4S,
gw,bptp,RB922UAGS-5HPacD-NM,
gw,bptp,RB922UAGS-5HPacD-NM,
gw,bptp,RB922UAGS-5HPacD-NM,
gw,bptp,RB922UAGS-5HPacD-NM,
site1,router,CRS112-8P-4S,
site1,bptp,RB922UAGS-5HPacD-NM,
site1,bptp,RB922UAGS-5HPacD-NM,
site1,sector,RB922UAGS-5HPacD,
site1,sector,RB922UAGS-5HPacD,
site1,sector,RB922UAGS-5HPacD,
site2,router,CRS112-8P-4S,
site2,bptp,RB922UAGS-5HPacD-NM,
site2,bptp,RB922UAGS-5HPacD-NM,
site2,bptp,RB922UAGS-5HPacD-NM,
site2,bptp,RB922UAGS-5HPacD-NM,
site2,sector,RB922UAGS-5HPacD,
site2,sector,RB922UAGS-5HPacD,
site2,sector,RB922UAGS-5HPacD,
site3,router,CRS112-8P-4S,
site3,bptp,RB922UAGS-5HPacD-NM,
site3,bptp,RB922UAGS-5HPacD-NM,
site3,bptp,RB922UAGS-5HPacD-NM,
site3,bptp,RB922UAGS-5HPacD-NM,
site3,sector,RB922UAGS-5HPacD,
site3,sector,RB922UAGS-5HPacD,
site3,sector,RB922UAGS-5HPacD,
site4,router,CRS112-8P-4S,
site4,bptp,RB922UAGS-5HPacD-NM,
site4,bptp,RB922UAGS-5HPacD-NM,
site4,sector,RB922UAGS-5HPacD,
site4,sector,RB922UAGS-5HPacD,
site4,sector,RB922UAGS-5HPacD,
site5,router,CRS112-8P-4S,
site5,bptp,RB922UAGS-5HPacD-NM,
site5,bptp,RB922UAGS-5HPacD-NM,
site5,sector,RB922UAGS-5HPacD,
site5,sector,RB922UAGS-5HPacD,
site5,sector,RB922UAGS-5HPacD,
site6,router,CRS112-8P-4S,
site6,bptp,RB922UAGS-5HPacD-NM,
site6,bptp,RB922UAGS-5HPacD-NM,
site6,sector,RB922UAGS-5HPacD,
site6,sector,RB922UAGS-5HPacD,
site6,sector,RB922UAGS-5HPacD,
site7,router,CRS112-8P-4S,
site7,bptp,RB922UAGS-5HPacD-NM,
site7,bptp,RB922UAGS-5HPacD-NM,
site7,sector,RB922UAGS-5HPacD,
site7,sector,RB922UAGS-5HPacD,
site7,sector,RB922UAGS-5HPacD,
site8,router,CRS112-8P-4S,
site8,bptp,RB922UAGS-5HPacD-NM,
site8,bptp,RB922UAGS-5HPacD-NM,
site8,sector,RB922UAGS-5HPacD,
site8,sector,RB922UAGS-5HPacD,
site8,sector,RB922UAGS-5HPacD,
